peakPosition logFC FDR promoterSymbol promoterENS distanceToPromoter closestGene closestGeneENS distanceToGene
2:162011532-162012505 -2.44913090113421 1.88525907207978e-23 RPEP5 ENSG00000234732 80065 NA ENSG00000230918 -61724
2:162011532-162012505 -2.44913090113421 1.88525907207978e-23 AC008063.2 ENSG00000230918 60750 NA ENSG00000230918 -61724
7:134995250-134996221 -2.26036668801211 1.48421468571178e-22 NA NA NA AGBL3 ENSG00000146856 8742
13:22076682-22077429 -2.01751386597678 3.61700373427601e-22 NA NA NA NME1P1 ENSG00000237175 22862
9:21576431-21577037 -2.41371285924545 3.61700373427601e-22 MIR31HG ENSG00000171889 16761 MIR31HG ENSG00000171889 -16762
9:21576431-21577037 -2.41371285924545 3.61700373427601e-22 RP11-344A7.1 ENSG00000227443 61247 MIR31HG ENSG00000171889 -16762
3:18438493-18439120 -2.34771593064058 3.79028103060458e-21 SATB1-AS1 ENSG00000228956 5903 TBC1D5 ENSG00000131374 6324
3:161349567-161350324 -2.15808150075604 5.30880982737175e-21 PSMC1P7 ENSG00000243838 19328 PSMC1P7 ENSG00000243838 -19329
3:161349567-161350324 -2.15808150075604 5.30880982737175e-21 RP11-3P17.4 ENSG00000240567 76102 PSMC1P7 ENSG00000243838 -19329
2:162063529-162064159 -1.90862533655042 8.50180689776692e-20 AC008063.2 ENSG00000230918 9096 NA ENSG00000230918 -9727
9:72527015-72527935 -2.23399437106216 4.56835503004142e-19 RP11-217F16.1 ENSG00000230003 81045 TMC1 ENSG00000165091 5214
1:219235858-219236835 2.30405899898548 7.77321844942631e-19 RP11-135J2.3 ENSG00000223842 10360 NA ENSG00000223842 -10361
1:219235858-219236835 2.30405899898548 7.77321844942631e-19 RP11-392O17.2 ENSG00000277007 33938 NA ENSG00000223842 -10361
12:117105720-117106398 -2.17669634447539 7.77321844942631e-19 TESC ENSG00000088992 6240 NA ENSG00000258285 6239
6:167113853-167114873 -2.02586863749447 7.77321844942631e-19 TCP10L2 ENSG00000166984 31540 CCR6 ENSG00000112486 2046
5:57117435-57118142 -2.20633865715868 1.30296232073892e-18 RP11-101B14.1 ENSG00000250480 2653 RLIG1P1 ENSG00000250480 -3361
1:212158844-212159578 -2.21475526745552 3.73600821890722e-18 RP11-15I11.2 ENSG00000229983 8628 NA ENSG00000229983 -9363
1:194295363-194296266 -1.67881738545445 3.02201824625211e-17 RP11-476H20.1 ENSG00000231714 54676 NA ENSG00000231714 -55580
11:86805899-86806587 2.13385365904039 3.1546195154574e-17 AP000654.4 ENSG00000269895 26480 PRSS23 ENSG00000150687 14840
9:86303382-86303979 -2.20468825383225 3.1546195154574e-17 ISCA1 ENSG00000135070 20279 ISCA1 ENSG00000135070 -20280
2:190695636-190696238 2.00292364718627 7.8482058769965e-17 NA NA NA NA ENSG00000228509 13080
5:157030622-157031259 2.80590909545578 7.86567779861151e-17 TIMD4 ENSG00000145850 67366 HAVCR1 ENSG00000113249 28497
5:157030622-157031259 2.80590909545578 7.86567779861151e-17 CTB-120L21.1 ENSG00000254246 73528 HAVCR1 ENSG00000113249 28497
1:84892653-84893646 -1.5213040148136 4.0951293561878e-16 LPAR3 ENSG00000171517 0 LPAR3 ENSG00000171517 560
7:18189318-18190068 2.26803427124975 6.64284127356744e-16 MIR1302-6 ENSG00000221393 62008 MIR1302-6 ENSG00000221393 -62009
9:76023627-76024562 -2.15948418147547 8.94008880028229e-16 NA NA NA PCSK5 ENSG00000099139 132983
3:27840660-27841313 2.17078092371062 1.22505417425101e-15 AC098973.1 ENSG00000229243 6523 LINC01981 ENSG00000229243 -6524
X:136065026-136065631 -2.0975234748689 2.21460158696369e-15 MMGT1 ENSG00000169446 90962 NA ENSG00000219930 -12818
X:136065026-136065631 -2.0975234748689 2.21460158696369e-15 GAPDHP67 ENSG00000219930 12212 NA ENSG00000219930 -12818
11:86486493-86487208 2.25124026517814 2.74174887425408e-15 RP11-762L8.6 ENSG00000278989 49210 NA ENSG00000278989 -49211
1:67674192-67675118 -2.05519525966072 3.86010385894733e-15 GADD45A ENSG00000116717 9942 GADD45A ENSG00000116717 -10869
3:122030314-122031249 1.7388345768888 3.86010385894733e-15 Y_RNA ENSG00000202388 5009 NA ENSG00000202388 -5010
2:162073346-162074618 -1.72984857102189 3.93426268668124e-15 DPP4 ENSG00000197635 0 NA ENSG00000230918 90
2:172441508-172442322 -1.90748857665055 6.41795204214456e-15 AC078883.4 ENSG00000226963 12904 NA ENSG00000226963 -12905
5:75059682-75060317 -2.41173724679923 6.41795204214456e-15 LINC01336 ENSG00000250889 6838 NA ENSG00000250889 -6839
15:63446088-63446732 -2.27372164543538 6.53774656827836e-15 CA12 ENSG00000074410 63926 NA ENSG00000259268 23263
15:63446088-63446732 -2.27372164543538 6.53774656827836e-15 USP3 ENSG00000140455 57778 NA ENSG00000259268 23263
7:17861208-17862008 1.93500340620016 7.33972543791328e-15 RP11-511H23.2 ENSG00000279048 78494 SNX13 ENSG00000071189 79293
20:5736908-5738434 -2.16583183385972 8.63369763327489e-15 C20orf196 ENSG00000171984 11958 SHLD1 ENSG00000171984 -13485
11:70353753-70354473 2.34022194627614 9.89878719021312e-15 CTA-797E19.2 ENSG00000255539 26543 NA ENSG00000254495 4924
11:70353753-70354473 2.34022194627614 9.89878719021312e-15 CTTN ENSG00000085733 43930 NA ENSG00000254495 4924
2:113876482-113877210 -2.02962497733378 1.01660598282177e-14 AC104653.1 ENSG00000228857 33125 NA ENSG00000270019 13268
2:113876482-113877210 -2.02962497733378 1.01660598282177e-14 ACTR3 ENSG00000115091 12749 NA ENSG00000270019 13268
7:92312939-92313541 2.43705455784842 1.2186440901825e-14 KRIT1 ENSG00000001631 66772 ANKIB1 ENSG00000001629 66705
X:120696775-120697497 -1.97295480617181 1.27563342462984e-14 C1GALT1C1 ENSG00000171155 66624 H3P46 ENSG00000278317 12617
X:120696775-120697497 -1.97295480617181 1.27563342462984e-14 RP4-655L22.4 ENSG00000181511 35596 H3P46 ENSG00000278317 12617
2:28586943-28587497 -1.64713597710967 1.45759656615981e-14 RNA5SP89 ENSG00000222232 96478 NA ENSG00000230730 77597
8:73867516-73868830 2.10213883911902 1.57849377003138e-14 RN7SL760P ENSG00000272469 33473 NA ENSG00000258677 11338
